item no.,safety_stock,rop,warehouse_capacity,min,max,lead_time,avg,item description,base uom,po uom,abc classification,item category,category description,quantity on hand,product group,product group description,rank,discontinued,unit price_first tier,eor
CBX-AI-CB-CP-1G,,,,,,1,,CUSTOM-BOX-CANNABEAST-CHERRYPOM-1G-CART,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-CB-DB-1G,,,,,,1,,CUSTOM-BOX-CANNABEAST-DREAMBRULEE-1G-CART,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-CB-JP-1G,,,,,,1,,CUSTOM-BOX-CANNABEAST-JUICYPEACH-1G-CART,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-CB-PT-1G,,,,,,1,,CUSTOM-BOX-CANNABEAST-PURPLE-TWIST-1G-CART,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-DENALI-UV,,,,,,1,,CUSTOMBOXMISTYMNTNDENALISPOTUV,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-HAWVOLCANO,,,,,,1,,CUSTOMBOXMISTYMTNHAWAIVOLANOESSPOTUV,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AI-YOSEMITE-UV,,,,,,1,,CUSTOMBOXMISTYMTNYOSEMITE-SPOTUV,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AKI-BOTA-DEV,,,,,,1,,CUSTOM-BOX-&-INSERTS-AKIRA-THE-DIVINE,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AKOF-5PR,0,0,0,5000,5000,0,5000,CUSTOM-BOX-AKOFARMS-5PREROLL,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AMMA-PL-9ML-BB,0,0,0,41900,41900,0,41900,CUSTOMBOX-AMMA-PURLIFE-9ML-BLANKBOX,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
