item no.,safety_stock,rop,warehouse_capacity,min,max,lead_time,avg,item description,base uom,po uom,abc classification,item category,category description,quantity on hand,product group,product group description,rank,discontinued,unit price_first tier,eor
073100-CR-BLK,133.6,356,700,5,89,4,55.6,1000CTSQUEEZETOPSÂ«84MMOPAQUECRTUBEBLACK,BOX,BOX,,Y,InventoryPurchasePause,12,Y28,Tubes,Next250,No,74,3.044120015
073100-CR-CLR,68,125,228,2,25,5,11.4,1000CTSQUEEZETOPSÂ®84MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,22,A6,JointTubes,Next250,No,74,1.0180194675759577
073100-CR-TEA,,,,,,1,,1000CTSQUEEZETOPSÂ«84MMCRTUBEOPAQUETEAL,BOX,BOX,,A,FlowerContainers,5,A7,Blunt&ConeTubes,OtherPackaging,No,74,
073100-CR-TVIO,5,30,48,3,6,5,5,1000CTSQUEEZETOPSÂ«84MMCRTUBETRANSVIOLET,BOX,BOX,,A,FlowerContainers,12,A7,Blunt&ConeTubes,OtherPackaging,No,74,0.9128709291752769
073100-CR-TYEL,9.333333333333334,24,42,2,6,4,3.6666666666666665,1000CTSQUEEZETOPSÂ«84MMCRTUBETRANSYELLOW,BOX,BOX,,A,FlowerContainers,6,A7,Blunt&ConeTubes,OtherPackaging,No,58.98,1.1055415967851332
073700-CR-BLK-1000,210,370,740,7,74,5,32,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEBLACK,BOX,BOX,,A,FlowerContainers,,A7,Blunt&ConeTubes,Top151-250,No,90,
073700-CR-CLR-1000,464.16666666666663,920,1675,5,184,5,91.16666666666667,1000CTSQUEEZETOPSÂ®98MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,165,A6,JointTubes,Top51-150,No,90,1.0512138246096772
073700-CR-GRN-1000,213,295,568,2,59,5,16.4,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEGREEN,BOX,BOX,,A,FlowerContainers,22,A7,Blunt&ConeTubes,Next250,No,90,1.2210278829367864
073700-CR-RED-1000,108.8,228,448,1,57,4,29.8,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBERED,BOX,BOX,,A,FlowerContainers,8,A7,Blunt&ConeTubes,OtherPackaging,No,82.98,2.7294688127912363
073700-CR-RYB-1000,43.75,80,148,1,16,5,7.25,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBEBLUE,BOX,BOX,,A,FlowerContainers,12,A7,Blunt&ConeTubes,Next250,No,90,1.0992421631894098
073700-CR-SLV-1000,93,141,271,1,47,3,16,1000CTSQUEEZETOPSÂ«98MMOPAQUECRTUBESILVER,BOX,BOX,,A,FlowerContainers,11,A7,Blunt&ConeTubes,OtherPackaging,No,73.98,1.7056057308448833
073700-CR-TBLK-1000,17,45,-135,5,15,3,9.333333333333334,1000CTSQUEEZETOPSÂ®98MMCRTUBETRANSBLACK,BOX,BOX,,A,FlowerContainers,225,A6,JointTubes,OtherPackaging,No,82.98,0.28803291992923824
073700-CR-TBLU-1000,142.5,225,423,4,45,5,16.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSBLUE,BOX,BOX,,A,FlowerContainers,27,A7,Blunt&ConeTubes,Next250,No,90,1.1055415967851334
073700-CR-TGRN-1000,74.16666666666666,205,410,10,41,5,26.166666666666668,1000CTSQUEEZETOPSÂ®98MMCRTUBETRANSGREEN,BOX,BOX,,A,FlowerContainers,,A6,JointTubes,Next250,No,90,
073700-CR-TORG-1000,86.66666666666666,200,392,2,40,5,22.666666666666668,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSORANGE,BOX,BOX,,A,FlowerContainers,8,A7,Blunt&ConeTubes,Top151-250,No,90,2.3804761428476167
073700-CR-TRED-1000,132.5,250,468,4,50,5,23.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSRED,BOX,BOX,,A,FlowerContainers,32,A7,Blunt&ConeTubes,Top151-250,No,90,1.2119199643540823
073700-CR-TRSBY-1000,,,,,,1,,1000CTSQUEEZETOPS98MMCRTUBETRANSRASPBERRY,BOX,BOX,,A,FlowerContainers,1,A7,Blunt&ConeTubes,NewPackaging,No,148.97,
073700-CR-TVIO-1000,122.5,240,455,2,48,5,23.5,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSVIOLET,BOX,BOX,,A,FlowerContainers,25,A7,Blunt&ConeTubes,Top151-250,No,90,1.3711309200802089
073700-CR-TYEL-1000,74.16666666666666,180,340,2,36,5,21.166666666666668,1000CTSQUEEZETOPSÂ«98MMCRTUBETRANSYELLOW,BOX,BOX,,A,FlowerContainers,20,A7,Blunt&ConeTubes,Next250,No,90,1.4548768561863463
073700-CR-WHT-1000,81.75,153,281,4,51,3,23.75,1000CTSQUEEZETOPSÂ®98MMOPAQUECRTUBEWHITE,BOX,BOX,,A,FlowerContainers,25,A6,JointTubes,Next250,No,82.98,1.3784048752090223
074300-CR-BLK-1000,624.1666666666667,1795,3562,122,359,5,234.16666666666666,1000CTSQUEEZETOPSÂ«109MMOPAQUECRTUBEBLACK,BOX,BOX,,A,FlowerContainers,28,A7,Blunt&ConeTubes,Top50,No,95,4.089766555219317
074300-CR-CLR-1000,639.1666666666666,1000,1921,10,200,5,72.16666666666667,1000CTSQUEEZETOPS109MMCRTUBECLEAR,BOX,BOX,,A,FlowerContainers,79,A7,Blunt&ConeTubes,Top51-150,No,95,1.3516671999457865
074300-CR-GLD-1000,75,201,341,5,67,3,42,1000CTSQUEEZETOPSÂ®109MMOPAQUECRTUBEGOLD,BOX,BOX,,A,FlowerContainers,61,A7,Blunt&ConeTubes,OtherPackaging,No,100,1.1734773880769365
074300-CR-GRN-1000,208.33333333333331,285,560,1,57,5,15.333333333333334,1000CTSQUEEZETOPSÂ®109MMOPAQUECRTUBE-GREEN,BOX,BOX,,A,FlowerContainers,10,A7,Blunt&ConeTubes,OtherPackaging,No,78.98,1.7511900715418263
074300-CR-OMIX-1000,10,20,28,1,4,5,2,1000CTSQUEEZETOPSÂ«109MMCRTUBEOPAQUEMIX,BOX,BOX,,A,FlowerContainers,12,A7,Blunt&ConeTubes,OtherPackaging,No,96,0.5773502691896257
074300-CR-PUR-1000,30,60,114,2,12,5,6,1000CTSQUEEZETOPS109MMOPAQUECRTUBEPURPLE,BOX,BOX,,A,FlowerContainers,6,A7,Blunt&ConeTubes,Next250,No,95,1.4142135623730951
074300-CR-RED-1000,93,200,324,1,40,5,21.4,1000CTSQUEEZETOPSÂ«109MMOPAQUECRTUBERED,BOX,BOX,,A,FlowerContainers,76,A7,Blunt&ConeTubes,Next250,No,95,0.750438468
074300-CR-TBLK-1000,64,96,-43,2,24,4,8,1000CTSQUEEZETOPSÂ«109MMCRTUBETRANSBLACK,BOX,BOX,,A,FlowerContainers,235,A7,Blunt&ConeTubes,OtherPackaging,No,87.98,0.2609312292213769
074300-CR-TBLU-1000,32.8,48,-217,1,12,4,3.8,1000CTSQUEEZETOPSÂ®109MMCRTUBETRANSBLUE,BOX,BOX,,A,FlowerContainers,313,A7,Blunt&ConeTubes,OtherPackaging,No,78.98,0.15582410006075573
074300-CR-TEA-1000,232,385,670,5,77,5,30.6,1000CTSQUEEZETOPSÂ®109MMOPAQUECRTUBETEAL,BOX,BOX,,A,FlowerContainers,100,A7,Blunt&ConeTubes,Top51-150,No,95,0.7823042886243179
074300-CR-TGRN-1000,85.83333333333331,135,252,1,27,5,9.833333333333334,1000CTSQUEEZETOPSÂ«109MMCRTUBETRANSGREEN,BOX,BOX,,A,FlowerContainers,18,A7,Blunt&ConeTubes,Next250,No,95,1.04527154
074300-CR-TMIX-1000,22.5,40,55,1,8,5,3.5,1000CTSQUEEZETOPSÂ«109MMCRTUBETRANSMIX,BOX,BOX,,A,FlowerContainers,25,A7,Blunt&ConeTubes,Next250,No,97,0.5291502622129182
074300-CR-TORG-1000,37.6,60,110,1,15,4,5.6,1000CTSQUEEZETOPSÂ«109MMCRTUBETRANSORANGE,BOX,BOX,,A,FlowerContainers,10,A7,Blunt&ConeTubes,OtherPackaging,No,95,1.0583005244258363
074300-CR-TRED-1000,23,48,85,2,12,4,6.25,1000CTSQUEEZETOPSÂ®109MMCRTUBETRANSRED,BOX,BOX,,A,FlowerContainers,11,A7,Blunt&ConeTubes,OtherPackaging,No,95,1.0660035817780522
074300-CR-TYEL-1000,40,68,126,2,17,4,7,1000CTSQUEEZETOPSÂ«109MMCRTUBETRANSYELLOW,BOX,BOX,,A,FlowerContainers,10,A7,Blunt&ConeTubes,OtherPackaging,No,78.98,1.1832159566199232
074300-CR-WHT-1000,303.33333333333337,770,1498,43,154,5,93.33333333333333,1000CTSQUEEZETOPSÂ®109MMOPAQUECRTUBEWHIT,BOX,BOX,,A,FlowerContainers,42,A7,Blunt&ConeTubes,Top51-150,No,95,2.1081851067789192
075600-CR-WHT-1400,15,60,115,6,12,5,9,1400CTSQUEEZETOPSÂ«140MMOPAQUECRTUBEWHITE,BOX,BOX,,A,FlowerContainers,5,A7,Blunt&ConeTubes,Next250,No,150,1.8973665961010275
1004359-000000,,,,,,1,,80CTV3UVBlack3ozReserveGlassJarCR,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN2,GLASSJAR,Consignment,No,,
100CT-CPC-NCC-CAP,,,,,,1,,100CT-CUSTOM-CAP-NORTHCOASTCURE-DOME-BLK,CASE,CASE,,L,Custom,,L6,CustomCaps,Custom,No,,
100CT-CPT-GLC,,,,,,1,,100CTCUSTOMPRINTEDTIN-GREATLAKECANNABIS,CASE,CASE,C,L,Custom,,L38,CustomTin,Custom,No,,
100CT-CPT-LS-PM,0,0,0,25,25,0,25,100CT-CUSTOMPRINTEDTIN-LITTLESTEVENS-PARTYMAMBO,CASE,CASE,C5,L,Custom,,L38,CustomTin,Custom,No,,
100CT-CPT-MDMN-34PK,,,,,,1,,100CT-CUSTOMPRINTEDTIN-MEDMEN-CR3/4PACKWHITE,CASE,CASE,C,L,Custom,,,,Custom,No,,
100CT-CPT-MJCBD-SR,0,0,0,5,5,0,5,100CT-CPT-MARYJANECBD-SUNRISE-MINI,CASE,CASE,C5,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-HY-TL-10PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-HYBRID-TEAL-10PR,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-HY-TL-5PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-HYBRID-TEAL-5PREROLLS,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-IN-OR-10PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-INDICA-ORANGE-10PR,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-IN-ORG-5PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-INDICA-ORANGE-5PREROLL,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-SA-YEL-5PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-SATIVA-YELLOW-5PR,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CT-MEN-SAT-Y-10PR,,,,,,1,,100CT-CUSTOM-TIN-MENDOCINO-SATIVA-YELLOW-10PR,CASE,CASE,,L,Custom,,L38,CustomTin,Custom,No,,
100CTCPT-MJCBD-SLEEP,0,0,0,5,5,0,5,100CT-MARYJANECBD-SLEEP-MINI,CASE,CASE,C5,L,Custom,,L38,CustomTin,Custom,No,,
1011889-000000,,,,,,1,,1450CTKapsulaUniversalPPPlasticCapBlack,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN10,PLASTIC,NewPackaging,No,304.5,
1011890-000000,,,,,,1,,1450CTKapsulaBase84mmWhiteoldversion,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN10,PLASTIC,NewPackaging,No,275.5,
1012177-000000,0,0,-141,34,34,0,34,120CTFlushV2JarCRCapUniv.48/400Blk,BOX,BOX,,GNLN,GreenlaneProducts,141,GNLN11,GLASS,Consignment,No,,
1012529-000000,,,,,,1,,592CTCRKSCPopTop13DROpaqueBlack,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN6,POPTOPBOTTLE,Consignment,No,,
1012928-999999,,,,,,1,,30CTCustom4ozWMMatteBlkGlassJar66/400,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN11,GLASS,Consignment,No,,
1013692-014079,,,,,,1,,600CT-CustomPrintClade9V23ozBlkFlushCap,BOX,BOX,,L,Custom,,L6,CustomCaps,Consignment,No,,
1013858-000000,,,,,,1,,540CTKolossusCRCap66/400MatteBlkPEFoam,BOX,BOX,,GNLN,GreenlaneProducts,158,GNLN1,GLASSJARLID/CAP,Consignment,No,,
1015121-000000,,,,,,1,,1450CTKapsulaPPPlasticBaseV284mmBlack,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN10,PLASTIC,NewPackaging,No,217.5,
1015122-000000,,,,,,1,,1450CTKapsulaPPPlasticBaseV284mmWhite,BOX,BOX,,GNLN,GreenlaneProducts,,GNLN10,PLASTIC,NewPackaging,No,217.5,
106563,,,,,,1,,MARLEYNATURALLOCKBOXBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H19,Accessories,NewSmoke,No,240,
106708,,,,,,1,,KEITHHARINGGLASSTASTER,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,20,
108434,,,,,,1,,EYCE-SOLOSILICONEDUGOUT&GLASSTASTER10CT,BOX,BOX,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,240,
108845,,,,,,1,,EYCEORAFLEXSPOON10CT,BOX,BOX,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,299.9,
108964,,,,,,1,,EYCESILICONENECTARCOLLECTOR5CT,BOX,BOX,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,224.95,
108972,,,,,,1,,EYCESILICONEDABRIGII9CT,BOX,BOX,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,449.91,
108974,,,,,,1,,EYCESHORTYCHILLUM&NECTARCOLLECTOR10CT,BOX,BOX,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,80,
108996,,,,,,1,,HIGHERSTANDARDSHEAVYDUTYSPOONHANDPIPE,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,60,
109005,,,,,,1,,MARLEYNATURALBUBBLERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H4,Bubblers,NewSmoke,No,120,
109006,,,,,,1,,MARLEYNATURALSMALLCASEBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H19,Accessories,NewSmoke,No,30,
109007,,,,,,1,,MARLEYNATURALSPOONPIPESMOKEDGLASS,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,40,
109008,,,,,,1,,MARLEYNATURALTASTERSMOKEDGLASS,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,20,
109009,,,,,,1,,MARLEYNATURALSPOONPIPEBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,60,
109011,,,,,,1,,MARLEYNATURALSTEAMROLLERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,60,
109012,,,,,,1,,MARLEYNATURALGLASSTASTERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,30,
109187,,,,,,1,,DRDABBERSWITCH,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,374.95,
109205,,,,,,1,,EYCEPROTECKSERIESASHTRAY6CT,BOX,BOX,,H,SmokeShopSupply,,H17,Ashtrays,NewSmoke,No,180,
109207,,,,,,1,,EYCE14MMBEAKERGLASSDOWNSTEM,EA,EA,,H,SmokeShopSupply,,H6,BowlsDomesAttachments,NewSmoke,No,,
109208,,,,,,1,,EYCEBEAKERASST,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,69.99,
109209,,,,,,1,,EYCE14MMGLASSSLIDE,EA,EA,,H,SmokeShopSupply,,H6,BowlsDomesAttachments,NewSmoke,No,,
109212,,,,,,1,,EYCEMINIBEAKERASST,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,39.99,
109220,,,,,,1,,EYCESPOON10CT,BOX,BOX,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,199.9,
109307,,,,,,1,,MARLEYNATURALCRYSTALASHTRAYBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H17,Ashtrays,NewSmoke,No,64,
109308,,,,,,1,,MARLEYNATURALLARGEGRINDERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,160,
109309,,,,,,1,,MARLEYNATURALSMALLGRINDERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,90,
109310,,,,,,1,,MARLEYNATURALHOLDERBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H19,Accessories,NewSmoke,No,24,
109311,,,,,,1,,MARLEYNATURALBUBBLERSMOKEDGLASS,EA,EA,,H,SmokeShopSupply,,H4,Bubblers,NewSmoke,No,80,
109313,,,,,,1,,MARLEYNATURALWATERPIPESMOKEDGLASS,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,160,
109314,,,,,,1,,MARLEYNATURALWATERPIPEBLACKWALNUT,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,240,
109441,,,,,,1,,STÃ‚DENGLASSGRAVITYINFUSER,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,649.95,
109521,,,,,,1,,HIGHERSTANDARDSHSXBANANABROSOTTOGRINDER,EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,199,
109533,,,,,,1,,CLOUDIOUS9TECTONIC9AUTO-DISPENSINGGRINDER,BOX,BOX,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,359.94,
109585,,,,,,1,,FIREFLYFIREFLY2+VAPORIZER,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,249.99,
109618,,,,,,1,,HIGHERSTANDARDSGLASSTASTERCLEAR,EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,10,
109717,,,,,,1,,YOCANEVOLVEPLUSBLACK,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,49.99,
109720,,,,,,1,,YOCANEVOLVEBLACK,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,39.99,
109728,,,,,,1,,YOCANUNISMOKEYGRAY,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,24.99,
109769,,,,,,1,,"""AEROSPACED1.6""""4-PIECEGRINDER40MMBLACK""",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,21.95,
109770,,,,,,1,,"""AEROSPACED2""""4-PIECEGRINDER50MMBLACK""",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,26.95,
109771,,,,,,1,,"""AEROSPACED2.5""""4-PIECEGRINDER63MMBLACK""",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,36.95,
109778,,,,,,1,,"""AEROSPACED2""""2-PIECEGRINDER50MMBLACK""",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,17.95,
109857,,,,,,1,,EYCESILICONECLEANER12CT,BOX,BOX,,H,SmokeShopSupply,,H19,Accessories,NewSmoke,No,74.99,
109867,,,,,,1,,STÃ‚DENGLASSKOMPACT,EA,EA,,H,SmokeShopSupply,,H2,WaterPipes,NewSmoke,No,649.95,
109883,,,,,,1,,"""AEROSPACED2""""TOOTHLESSGRINDER50MMBLACK""",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,26.95,
109884,,,,,,1,,"""AEROSPACED2.5""""TOOTHLESSGRINDER63MMBLACK",EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,36.95,
109982,,,,,,1,,STORZ&BICKELMIGHTY+,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,399,
109983,,,,,,1,,STORZ&BICKELCRAFTY+,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,279,
110523,,,,,,1,,GRENCOSCIENCEDASHBLACK,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,79.95,
110524,,,,,,1,,GRENCOSCIENCECONNECTBLACK,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,219.95,
110525,,,,,,1,,GRENCOSCIENCE10MMCONNECTMALEGLASSADAPTER,EA,EA,,H,SmokeShopSupply,,H6,BowlsDomesAttachments,NewSmoke,No,,
111153,,,,,,1,,DAVINCIMIQRO-C,EA,EA,,H,SmokeShopSupply,,H9,Vaporizers&E-Cigs,NewSmoke,No,99,
111216,,,,,,1,,GROOVERIPSTERELECTRICGRINDER,EA,EA,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,23,
111217,,,,,,1,,"""GROOVE4""""FRITTEDHANDPIPE""",EA,EA,,H,SmokeShopSupply,,H3,HandPipes,NewSmoke,No,89.99,
111400,,,,,,1,,GROOVEPIVOTGRINDER12CT,BOX,BOX,,H,SmokeShopSupply,,H10,Grinders,NewSmoke,No,239.99,
11240,0,0,0,7,7,0,7,32CT-RAWORGANICCONESPRE-ROLLED1-1/4,BOX,BOX,C,J,Pre-Rolls,,J2,WhiteCones,NewPackaging,No,49,
11456,30,145,279,10,29,5,23,24CTRAWPRE-ROLLEDCONESEMPERADOR,BOX,BOX,B,J,Pre-Rolls,11,J1,BrownCones,Next250,No,45,2.044949433
1203,223.33333333333337,745,1277,40,149,5,104.33333333333333,"32CT-RAWCONESPRE-ROLLED11/4""",BOX,BOX,A,J,Pre-Rolls,213,J3,RetailPacks,Top51-150,No,47,0.989775587
1204,86.66666666666664,415,786,31,83,5,65.66666666666667,32CT-RAWCONESPRE-ROLLEDKINGSIZEDISPLAY,BOX,BOX,B,J,Pre-Rolls,44,J3,RetailPacks,Top151-250,No,46.95,1.7276714053454971
12048,32.5,190,372,19,38,5,31.5,180CTELEMPRE-ROLLCONES1-1/4PACKAGEDFORRET,BOX,BOX,B,J,Pre-Rolls,8,J3,RetailPacks,Next250,No,45,2.806243040080456
1211,386.66666666666674,1205,2147,102,241,5,163.66666666666666,"24CT-RAWPAPER1-1/4""",BOX,BOX,A,K,RollingSupplies,263,K1,RollingPapers,Top151-250,No,24.99,1.1156224427320844
1213,430,665,1201,16,133,5,47,800CT-RAWKSPRE-ROLLEDCONES109/26,BOX,BOX,A,J,Pre-Rolls,129,J1,BrownCones,Top51-150,No,95,0.8536288248077355
1219,75,315,562,30,63,5,48,50CTRAWTIPS,BOX,BOX,B,K,RollingSupplies,68,K4,Tips,Next250,No,24,1.1881770515720091
13103,279,755,1498,30,151,5,95.2,25CTHIGHHPORGANICHPWRAPS,BOX,BOX,A,K,RollingSupplies,12,K2,BluntWraps,Top51-150,No,17,3.9832984656772417
13285,142.5,345,608,5,69,5,40.5,24CTRAWBLACKNATURALROLLINGPAPERS1-1/4,BOX,BOX,C,K,RollingSupplies,82,K1,RollingPapers,Next250,No,25,0.9938837346736189
13447,791.6666666666665,2645,4369,297,529,5,370.6666666666667,1400CT-RAWPRE-ROLLEDCONESKINGSIZE/26MM,BOX,BOX,B,J,Pre-Rolls,921,J1,BrownCones,Top50,No,179.95,0.8971745571680452
13485,118.33333333333331,390,773,44,78,5,54.333333333333336,15CT-TWISTEDHPBLUNTWRAPSPLAINJANE,BOX,BOX,C,K,RollingSupplies,7,K2,BluntWraps,Next250,No,10,3.9400265892262105
13513,1568.3333333333335,3685,7205,210,737,5,423.3333333333333,800CTELEMENTSPRE-ROLLEDCONESKINGSIZE/26MM,BOX,BOX,C,J,Pre-Rolls,165,J2,WhiteCones,Top50,No,95,2.265240192852213
13514,291.66666666666663,775,1550,29,155,5,96.66666666666667,900CTELEMENTSPRE-ROLLEDCONES1-1/4/26MM,BOX,BOX,C,J,Pre-Rolls,,J2,WhiteCones,Top51-150,No,95,
13524,0,0,-23,7,7,0,7,25CTHIGHHPORGANICWRAPSGRAPEAPE,BOX,BOX,C,K,RollingSupplies,23,K2,BluntWraps,NewPackaging,No,17,0.7801894976054939
13732,0,0,-26,4,4,0,4,25CTHIGHHPORGANICHPWRAPSHYDROLEMONADE,BOX,BOX,C,K,RollingSupplies,26,K2,BluntWraps,NewPackaging,No,17,0.5547001962252291
13864,226.66666666666663,340,434,4,68,5,22.666666666666668,800CTCONESUPPLYPRE-ROLLEDCONES98MMx26MM,BOX,BOX,C,J,Pre-Rolls,246,J1,BrownCones,Next250,No,71.98,0.4292806108111898
13865,153.33333333333331,435,665,13,87,5,56.333333333333336,800CTCONESUPPLYNATURAL109MMx26MM,BOX,BOX,C,J,Pre-Rolls,205,J1,BrownCones,Top51-150,No,80,0.7413457330658614
13866,791.6666666666665,2220,4241,133,444,5,285.6666666666667,800CTFUTUROLADUTCHBROWNPRE-ROLLEDCONES109/26,BOX,BOX,C,J,Pre-Rolls,199,J1,BrownCones,Top50,No,98,1.694408975290319
13867,211.6666666666667,955,1672,95,191,5,148.66666666666666,900CTFUTUROLACL.WHTEPRE-ROLLEDCONES84/26MM,BOX,BOX,C,J,Pre-Rolls,238,J2,WhiteCones,Top51-150,No,98,1.1177207700888245
13868,706.6666666666667,1505,2736,63,301,5,159.66666666666666,800CTFUTUROLADUTCHBROWNPRE-ROLLEDCONES98/26,BOX,BOX,C,J,Pre-Rolls,274,J1,BrownCones,Top50,No,98,1.0795601519389744
13GRAFISK-PLATE,,,,,,1,,"13""GRAFISKMASKINFABRIKPLATEROLL",EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-10-2,,,,,,1,,AccuSmart13GRAFISKDC33010-2,EA,EA,,PS,PrintShop,1,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-12-4,,,,,,1,,AccuSmart13GRAFISKDC33012-4,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-14-4,,,,,,1,,AccuSmart13GRAFISKDC33014-4,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-2-1,,,,,,1,,AccuSmart13GRAFISKDC3302-1,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-2-4,,,,,,1,,AccuSmart13GRAFISKDC3302-4,EA,EA,,PS,PrintShop,1,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-2-5,,,,,,1,,AccuSmart13GRAFISKDC3302-5,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-21-19,,,,,,1,,AccuSmart13GRAFISKDC33019-19,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-3-2,,,,,,1,,AccuSmart13GRAFISKDC3303-2,EA,EA,,PS,PrintShop,1,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-3-3,,,,,,1,,AccuSmart13GRAFISKDC3303-3,EA,EA,,PS,PrintShop,,PS1,PrintShopSupplies,NotApplicable,No,,
13GRAFISKDC330-3-4,,,,,,1,,AccuSmart13GRAFISKDC3303-4,EA,EA,,PS,PrintShop,2,PS1,PrintShopSupplies,NotApplicable,No,,
